음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
294,137,국밥_돼지머리,6.7,5.16,15.94,0.16,23.82
296,75,국밥_순대국밥,3.17,2.28,10.38,0.17,48.69
297,52,국밥_콩나물,1.45,0.24,10.93,0,0
339,166,기장밥,3.44,0.57,36.77,0,0
460,140,김밥,4.84,4.55,19.98,0,19.3
463,130,김밥_김치,4.3,4.03,19.17,0.29,47.38
464,177,김밥_날치알,6.1,4.26,28.66,1.43,55.15
465,202,김밥_돈가스,5.77,5.81,31.64,1.33,6.52
469,179,김밥_소고기,6.46,5.56,25.78,0.03,39.04
470,174,김밥_참치,7,7.22,20.26,0.71,33.45
473,158,김밥_채소,4.6,3.65,26.65,0.14,29.93
474,177,김밥_치즈,6.24,7.03,22.1,0.21,35.07
475,169,김밥_풋고추,4.88,4.41,27.52,0.09,37.81
887,150,덮밥_낙지,5.88,3.34,24.12,2.16,32.45
888,125,덮밥_닭고기,11.4,2.18,14.82,1.07,92.29
889,202,덮밥_돼지고기,9.43,10.77,16.86,1.98,27.94
890,182,덮밥_불고기,6.6,5.31,26.96,0.07,15.83
892,135,덮밥_오징어,7.18,2.01,21.94,0.66,46.44
2532,161,보리밥,2.9,0.24,36.77,2.57,0
2548,183,볶음밥,5.56,2.76,33.97,0,29.28
2551,225,볶음밥_계란,6.62,11.28,24.23,0.17,62.63
2552,167,볶음밥_김치,5.32,9.18,15.74,13.89,70.41
2563,172,볶음밥_새우,6.31,6.14,22.85,0.71,70.72
2564,176,볶음밥_소고기,7.59,6.48,21.76,0.08,50.02
2566,180,볶음밥_참치,4.62,3.27,32.9,0.12,2.76
2568,182,볶음밥_채소,4.72,5.39,28.74,0.29,46.24
2569,184,볶음밥_표고버섯,3.36,4.81,31.79,0,0
2630,142,비빔밥,6.86,4.32,18.84,0.05,42.26
2632,147,비빔밥_돌솥,5.39,2.95,24.68,1.24,9.98
2640,147,비빔밥_육회,6.39,3.36,22.92,4.45,30.56
2857,199,삼각김밥_참치마요네즈,5.93,8.21,25.45,0,10.47
3203,161,수수밥,3.16,0.92,35.02,0.08,0
4282,128,알밥,4.73,5.11,15.75,2.3,45.98
4486,184,영양돌솥밥,3.43,2.87,36.06,0.63,0
4498,173,오므라이스,6.5,7.23,20.54,3.19,86.99
4896,122,자장밥,4.27,4.72,15.57,0.03,5.75
4911,146,잡곡밥,5.3,0.87,29.33,0.32,0
4927,150,잡채밥,4.02,3.42,25.79,0.05,5.91
4991,178,주먹밥_소고기,4.76,2.18,34.73,0.23,6.52
5016,72,짬뽕밥,3.2,1.4,11.65,1.34,15.78
5020,157,차조밥,2.84,0.65,34.86,0.04,0
5030,153,찰밥,4.39,0.18,33.56,0.49,0
5074,160,초밥_모듬,9.66,1.59,26.72,1.4,19.43
5078,194,초밥_유부초밥,5.78,5.77,29.82,1.99,3.12
5208,108,카레라이스,3.11,1.4,20.74,0.16,2.79
6303,123,콩나물밥,4.68,1.58,22.39,0.04,3.14
6311,165,콩밥_검정콩,4.53,1.12,34.3,0,0
6312,138,콩밥_완두콩,2.95,0.16,31.25,0,0
8577,112,하이라이스,4.02,1.13,21.34,0,2.83
8769,172,현미밥,3.1,0.47,38.9,0,0
8847,145,회덮밥_모듬,9.1,4.15,17.76,3.07,27.38
1,195,가래떡,3.92,0.51,43.73,0,0
116,240,경단_깨,6.28,6.72,38.58,0.61,0
570,228,꿀떡,3.74,1.73,49.48,0.29,0
1914,218,모듬찰떡,6.78,2.44,42.27,2.98,0
2204,230,백설기,3.71,1.45,50.4,0.11,0
3197,219,송편_깨,4.65,3.23,42.83,1.98,0
3900,224,시루떡,3.77,1.85,48.13,0.04,0
4320,220,약식,4.21,2.45,45.24,13.24,0
